,,,,,,,,
,,Exp. 1,Exp. 2,Exp. 3,Exp. 4,Exp. 5,Exp. 6,Final setup
,Activation,sigmoid,- ,- ,- ,- ,biased softmax,biased softmax
,epoch,14,- ,- ,- ,- ,- ,14
,train size from split,0.5,- ,- ,0.7,- ,- ,0.7
,timesteps,1,- ,10,- ,- ,- ,10
,gru,1,- ,- ,- ,- ,- ,1
,bias,FALSE,- ,- ,- ,- ,- ,TRUE
,resolution,32,16,- ,- ,- ,- ,16
,training chunking,0.2,- ,- ,- ,1,- ,0.2
,FRR on test,0.28,0.28,0.16,0.31,0.23,0.31,0.15
,precision on test,0.950,0.950,0.92,0.96,0.93,0.96,0.91
,training speed (min),9.8,10.6,17,13.7,58.6,6.9,29
,training convergence speed (epochs),2,2,1,3,3,3,2
,inference speed on 16 sec test (secs),12.5,19,18.9,11.1,12,12.4,24.3
